Date/Time,Net,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/04  12:00:00,16.5491395,1.556234753,6.813405587,0,6.789035827,0,0.175779978,0.175779978,0.175779978,0.121932142,0.026267417,0.361119726,0.353804116,0
 01/04  13:00:00,13.03082914,1.433366352,5.18522231,0,5.161263067,0,0.134362569,0.134362569,0.134362569,0.121932142,0.026267417,0.351845974,0.347844169,0
 01/04  14:00:00,13.10020362,1.376093346,5.253966675,0,5.229178935,0,0.1383483,0.1383483,0.1383483,0.121932142,0.026267417,0.317847783,0.359872426,0
 01/04  15:00:00,11.42682079,1.319872,4.474698927,0,4.44851543,0,0.118318845,0.118318845,0.118318845,0.128349577,0.027649903,0.292642171,0.380136245,0
 01/04  16:00:00,12.13970841,1.403037683,4.74341684,0,4.715777875,0,0.126115353,0.126115353,0.126115353,0.160436991,0.034562383,0.302863616,0.401266965,0
 01/04  17:00:00,13.06688172,1.711846812,4.919447884,0,4.886755833,0,0.130961014,0.130961014,0.130961014,0.269534103,0.058064812,0.353720743,0.474628493,0
 01/04  18:00:00,16.81714264,2.321460491,6.204252568,0,6.16453695,0,0.165608978,0.165608978,0.165608978,0.500563357,0.107834641,0.445069937,0.576597765,0
 01/04  19:00:00,14.95433415,2.708897024,4.983301064,0,4.94018189,0,0.130954095,0.130954095,0.130954095,0.744427561,0.160369476,0.398283704,0.626011142,0
 01/04  20:00:00,14.94670517,2.685892608,4.995695111,0,4.951187644,0,0.131006815,0.131006815,0.131006815,0.789349925,0.170046944,0.315345897,0.646166599,0
 01/04  21:00:00,14.96928688,2.485655969,5.175542823,0,5.129505249,0,0.135843211,0.135843211,0.135843211,0.680252812,0.146544516,0.275874928,0.668380946,0
 01/04  22:00:00,15.34917675,2.262461038,5.544747871,0,5.499785104,0,0.145621975,0.145621975,0.145621975,0.5711557,0.123042104,0.258342283,0.652776722,0
 01/04  23:00:00,16.3170002,1.864915253,6.347910255,0,6.309000742,0,0.167266735,0.167266735,0.167266735,0.429971094,0.092627195,0.205880856,0.564894597,0
 01/04  24:00:00,17.17479909,1.460742644,7.100934145,0,7.067122502,0,0.186799111,0.186799111,0.186799111,0.295204003,0.063594789,0.135920782,0.490882893,0
 01/05  01:00:00,16.94306614,1.038176117,7.337070404,0,7.309103026,0,0.193037686,0.193037686,0.193037686,0.154019476,0.033179897,0.086369242,0.406034923,0
 01/05  02:00:00,16.8862766,0.859575716,7.456393388,0,7.430642799,0,0.194791688,0.194791688,0.194791688,0.089844728,0.019354937,0.072238755,0.37385121,0
 01/05  03:00:00,17.05367952,0.799605548,7.588941014,0,7.563488983,0,0.198137423,0.198137423,0.198137423,0.064174796,0.013824955,0.059715255,0.369516703,0
 01/05  04:00:00,17.14283429,0.793323365,7.640186535,0,7.615092773,0,0.199768515,0.199768515,0.199768515,0.064174796,0.013824955,0.052611026,0.364315295,0
 01/05  05:00:00,16.96065617,0.832102892,7.534924024,0,7.510778182,0,0.197048792,0.197048792,0.197048792,0.064174796,0.013824955,0.063151709,0.350553236,0
 01/05  06:00:00,16.96753483,1.077846074,7.39547375,0,7.368528931,0,0.1935052,0.1935052,0.1935052,0.064174796,0.013824955,0.075981488,0.391189237,0
 01/05  07:00:00,17.24352708,1.652985102,7.149583374,0,7.118451286,0,0.187123053,0.187123053,0.187123053,0.147602041,0.031797395,0.129758031,0.451980695,0
 01/05  08:00:00,18.89742477,2.073715304,7.602671451,0,7.569591275,0,0.199059551,0.199059551,0.199059551,0.301621517,0.064977292,0.207405929,0.480263352,0
 01/05  09:00:00,17.43663878,1.987047219,6.95238848,0,6.924421102,0,0.182352511,0.182352511,0.182352511,0.288786568,0.062212303,0.268690649,0.406034923,0
 01/05  10:00:00,16.90920321,1.73459382,6.900114198,0,6.876311697,0,0.18106067,0.18106067,0.18106067,0.147602041,0.031797395,0.330033496,0.345568553,0
 01/05  11:00:00,19.41950159,1.665577471,8.142493571,0,8.118131275,0,0.215509114,0.215509114,0.215509114,0.121932142,0.026267417,0.34487662,0.353695754,0
 01/05  12:00:00,16.74977731,1.562598833,6.902351111,0,6.877981351,0,0.181240872,0.181240872,0.181240872,0.121932142,0.026267417,0.361119726,0.353804116,0
 01/05  13:00:00,15.54394619,1.467481183,6.374715673,0,6.35075643,0,0.167701067,0.167701067,0.167701067,0.121932142,0.026267417,0.351845974,0.347844169,0
 01/05  14:00:00,14.95341765,1.400349392,6.133105476,0,6.108317736,0,0.161908427,0.161908427,0.161908427,0.121932142,0.026267417,0.317847783,0.359872426,0
 01/05  15:00:00,14.6437156,1.360934479,6.001951445,0,5.975767948,0,0.158761277,0.158761277,0.158761277,0.128349577,0.027649903,0.292642171,0.380136245,0
 01/05  16:00:00,14.73649963,1.436004827,5.976818542,0,5.949179577,0,0.158455575,0.158455575,0.158455575,0.160436991,0.034562383,0.302863616,0.401266965,0
 01/05  17:00:00,14.91159992,1.735047887,5.796478049,0,5.763785998,0,0.15344661,0.15344661,0.15344661,0.269534103,0.058064812,0.353720743,0.474628493,0
 01/05  18:00:00,18.3675244,2.341255829,6.941199302,0,6.901483684,0,0.184506627,0.184506627,0.184506627,0.500563357,0.107834641,0.445069937,0.576597765,0
 01/05  19:00:00,16.35162762,2.727238084,5.646854528,0,5.603735354,0,0.148235925,0.148235925,0.148235925,0.744427561,0.160369476,0.398283704,0.626011142,0
 01/05  20:00:00,15.70542897,2.696009273,5.356443867,0,5.311936401,0,0.140043353,0.140043353,0.140043353,0.789349925,0.170046944,0.315345897,0.646166599,0
 01/05  21:00:00,15.48635981,2.492883563,5.421099727,0,5.375062153,0,0.142087055,0.142087055,0.142087055,0.680252812,0.146544516,0.275874928,0.668380946,0
 01/05  22:00:00,15.3959952,2.263750125,5.566875792,0,5.521913025,0,0.146046483,0.146046483,0.146046483,0.5711557,0.123042104,0.258342283,0.652776722,0
 01/05  23:00:00,15.58318579,1.856104172,5.999615545,0,5.960706033,0,0.157795431,0.157795431,0.157795431,0.429971094,0.092627195,0.205880856,0.564894597,0
 01/05  24:00:00,15.67181262,1.442487202,6.386607539,0,6.352795896,0,0.168106506,0.168106506,0.168106506,0.295204003,0.063594789,0.135920782,0.490882893,0
 01/06  01:00:00,15.71646703,1.023157503,6.754112454,0,6.726145075,0,0.177816152,0.177816152,0.177816152,0.154019476,0.033179897,0.086369242,0.406034923,0
