Month,Day,Hour,DateTime,EnergyProd,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W),,,
1,7,22,179922,0,0,0,-14,0,0,-14,0,0,,,
1,7,23,179923,0,0,0,-14,0,0,-14,0,0,,,
1,8,0,18990,0,0,0,-15,0,0,-15,0,0,,,
1,8,1,18991,0,0,0,-15,0,0,-15,0,0,,,
1,8,2,18992,0,0,0,-15,0,0,-15,0,0,,,
1,8,3,18993,0,0,0,-15,0,0,-15,0,0,,,
1,8,4,18994,0,0,0,-16,0,0,-16,0,0,,,
1,8,5,18995,0,0,0,-16,0,0,-16,0,0,,,
1,8,6,18996,0,0,0,-16,0,0,-16,0,0,,,
1,8,7,18997,0,0,0,-16,0,0,-16,0,0,,,
1,8,8,18998,10.646496,658,35,-15,0,272.404,-6.007,10646.496,10178.609,,,
1,8,9,18999,20.525215,862,51,-12,0,515.567,9.156,20525.215,19752.445,,,
1,8,10,189910,27.4389,951,58,-10,0,702.551,19.328,27438.9,26404.791,,,
1,8,11,189911,31.150205,984,63,-8,0,816.039,26.06,31150.205,29959.518,,,
1,8,12,189912,26.041799,645,134,-6,0,674.01,24.113,26041.799,25063.684,,,
1,8,13,189913,25.045021,658,120,-5,0,646.624,23.188,25045.021,24105.871,,,
1,8,14,189914,26.204943,938,59,-4,0,690.321,25.328,26204.943,25220.373,,,
1,8,15,189915,18.968641,846,50,-4,0,499.795,19.383,18968.641,18249.26,,,
1,8,16,189916,9.3079,622,34,-6,0,253.35,7.324,9307.9,8875.123,,,
1,8,17,189917,0,0,0,-7,0,0,-7,0,0,,,
1,8,18,189918,0,0,0,-7,0,0,-7,0,0,,,
1,8,19,189919,0,0,0,-8,0,0,-8,0,0,,,
1,8,20,189920,0,0,0,-8,0,0,-8,0,0,,,
1,8,21,189921,0,0,0,-7,0,0,-7,0,0,,,
1,8,22,189922,0,0,0,-7,0,0,-7,0,0,,,
1,8,23,189923,0,0,0,-7,0,0,-7,0,0,,,
1,9,0,19990,0,0,0,-7,0,0,-7,0,0,,,
1,9,1,19991,0,0,0,-7,0,0,-7,0,0,,,
1,9,2,19992,0,0,0,-7,0,0,-7,0,0,,,
1,9,3,19993,0,0,0,-6,0,0,-6,0,0,,,
1,9,4,19994,0,0,0,-6,0,0,-6,0,0,,,
1,9,5,19995,0,0,0,-6,0,0,-6,0,0,,,
1,9,6,19996,0,0,0,-6,0,0,-6,0,0,,,
1,9,7,19997,0,0,0,-5,0,0,-5,0,0,,,
1,9,8,19998,9.129978,541,40,-4,0,240.722,3.355,9129.978,8701.756,,,
1,9,9,19999,18.328617,752,63,-2,0,475.345,16.871,18328.617,17630.611,,,
1,9,10,199910,25.401023,874,70,-1,0,671.344,26.296,25401.023,24448.053,,,
1,9,11,199911,29.425893,934,72,-1,0,790.656,31.405,29425.893,28309.369,,,
1,9,12,199912,30.74198,960,71,0,0,836.949,34.473,30741.98,29569.072,,,
1,9,13,199913,29.58409,961,68,0,0,804.201,33.749,29584.09,28460.863,,,
1,9,14,199914,25.653545,930,62,0,0,690.795,30.021,25653.545,24690.703,,,
1,9,15,199915,18.998656,843,53,-1,0,506.945,22.4,18998.656,18278.268,,,
1,9,16,199916,9.447006,635,35,-3,0,260.237,10.476,9447.006,9010.648,,,
1,9,17,199917,0,0,0,-4,0,0,-4,0,0,,,
1,9,18,199918,0,0,0,-5,0,0,-5,0,0,,,
1,9,19,199919,0,0,0,-6,0,0,-6,0,0,,,
1,9,20,199920,0,0,0,-6,0,0,-6,0,0,,,
1,9,21,199921,0,0,0,-7,0,0,-7,0,0,,,
1,9,22,199922,0,0,0,-8,0,0,-8,0,0,,,
1,9,23,199923,0,0,0,-8,0,0,-8,0,0,,,
1,10,0,110990,0,0,0,-9,0,0,-9,0,0,,,
1,10,1,110991,0,0,0,-9,0,0,-9,0,0,,,
1,10,2,110992,0,0,0,-10,0,0,-10,0,0,,,
1,10,3,110993,0,0,0,-10,0,0,-10,0,0,,,
1,10,4,110994,0,0,0,-11,0,0,-11,0,0,,,
1,10,5,110995,0,0,0,-11,0,0,-11,0,0,,,
1,10,6,110996,0,0,0,-12,0,0,-12,0,0,,,
1,10,7,110997,0,0,0,-11,0,0,-11,0,0,,,
1,10,8,110998,10.798192,701,33,-10,0,283.444,-0.658,10798.192,10326.234,,,
1,10,9,110999,20.619084,900,47,-7,0,530.555,14.473,20619.084,19843.029,,,
1,10,10,1109910,27.401049,987,51,-5,0,718.813,24.543,27401.049,26368.477,,,
1,10,11,1109911,31.107842,1022,54,-3,0,835.522,31.284,31107.842,29919.006,,,
1,10,12,1109912,31.950266,1028,55,-1,0,871.745,34.9,31950.266,30724.332,,,
