Date/Time,Net,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) ,
 01/03  15:00:00,4.947046563,0.698059768,1.931192827,0,1.819449088,0,0.031571894,0.031571894,0.031571894,0.049169738,0.008833842,0.05392698,0.291698638,0.252328675,
 01/03  16:00:00,5.479362393,0.741482367,2.167484435,0,2.027998584,0,0.035190738,0.035190738,0.035190738,0.06146218,0.011042304,0.056406952,0.307913357,0.258936835,
 01/03  17:00:00,5.995797092,0.895753647,2.327815241,0,2.110497139,0,0.03662229,0.03662229,0.03662229,0.103256447,0.018551069,0.065849143,0.364207536,0.296737163,
 01/03  18:00:00,9.097312044,1.198567227,3.659298481,0,3.315303413,0,0.057528626,0.057528626,0.057528626,0.191761982,0.034451986,0.082889127,0.44245395,0.378951555,
 01/03  19:00:00,7.371405021,1.428993721,2.599168328,0,2.322077287,0,0.040293723,0.040293723,0.040293723,0.285184488,0.051236287,0.083492295,0.480371446,0.447885482,
 01/03  20:00:00,6.928460273,1.430253061,2.30937797,0,2.149576016,0,0.037300404,0.037300404,0.037300404,0.302393901,0.054328133,0.074792186,0.495837794,0.455070644,
 01/03  21:00:00,6.933601689,1.348735172,2.345997089,0,2.236795001,0,0.038813867,0.038813867,0.038813867,0.260599634,0.046819369,0.065329786,0.512884037,0.41375848,
 01/03  22:00:00,6.892701325,1.232518684,2.404092871,0,2.317907007,0,0.040221358,0.040221358,0.040221358,0.218805337,0.039310599,0.058492662,0.500910091,0.364248636,
 01/03  23:00:00,6.847400779,1.019873711,2.541350467,0,2.479041988,0,0.043017444,0.043017444,0.043017444,0.164718628,0.029593373,0.05029679,0.43347349,0.288243986,
 01/03  24:00:00,6.872409592,0.813441872,2.707451614,0,2.659399287,0,0.046147085,0.046147085,0.046147085,0.113090389,0.020317836,0.043586942,0.376680397,0.203089223,
 01/04  01:00:00,6.947054442,0.588758832,2.912467388,0,2.876272212,0,0.049910361,0.049910361,0.049910361,0.05900368,0.01060061,0.038648574,0.311572063,0.108493544,
 01/04  02:00:00,7.224553476,0.492801849,3.120850342,0,3.086351914,0,0.053555758,0.053555758,0.053555758,0.034418826,0.006183691,0.036403781,0.286875799,0.064833994,
 01/04  03:00:00,7.219508376,0.466032227,3.135764842,0,3.108899758,0,0.053947018,0.053947018,0.053947018,0.024584869,0.004416921,0.034419002,0.283549703,0.054584714,
 01/04  04:00:00,7.278923607,0.465390832,3.167441065,0,3.140850202,0,0.054501436,0.054501436,0.054501436,0.024584869,0.004416921,0.033177023,0.279558387,0.058622195,
 01/04  05:00:00,7.525485215,0.492349477,3.282787607,0,3.249517465,0,0.056387079,0.056387079,0.056387079,0.024584869,0.004416921,0.033669607,0.268998032,0.093762969,
 01/04  06:00:00,7.697911523,0.684361209,3.261920305,0,3.219123897,0,0.055859677,0.055859677,0.055859677,0.024584869,0.004416921,0.035745107,0.300180184,0.253044452,
 01/04  07:00:00,7.746838885,1.066941396,3.071864512,0,2.996264753,0,0.051992525,0.051992525,0.051992525,0.05654521,0.010158921,0.042257835,0.346828683,0.548628222,
 01/04  08:00:00,7.897017791,1.247663557,3.027921731,0,2.913848601,0,0.050562403,0.050562403,0.050562403,0.11554889,0.020759531,0.051056811,0.368531461,0.615674462,
