Date/Time,Net,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) ,
 01/04  04:00:00,33.89086372,1.216742603,15.34391036,0,15.31291732,0,0.455584819,0.455584819,0.455584819,0.103204501,0.023328353,0.074752636,0.449253486,0.087848807,
 01/04  05:00:00,35.1650139,1.281317952,15.92451787,0,15.89469559,0,0.472940333,0.472940333,0.472940333,0.103204501,0.023328353,0.086845757,0.432282875,0.139946132,
 01/04  06:00:00,35.39693707,1.572653148,15.86666289,0,15.83338363,0,0.471165229,0.471165229,0.471165229,0.103204501,0.023328353,0.101815918,0.482392946,0.367976201,
 01/04  07:00:00,34.6572119,2.276167714,15.03361433,0,14.99516342,0,0.446268487,0.446268487,0.446268487,0.23737031,0.05365521,0.165077845,0.557357611,0.793668252,
 01/04  08:00:00,37.30339455,2.883664847,15.80485682,0,15.76399984,0,0.469178742,0.469178742,0.469178742,0.485061124,0.109643267,0.256398204,0.59223422,0.91087929,
 01/04  09:00:00,33.01173884,2.712474338,13.85077157,0,13.81622936,0,0.411319648,0.411319648,0.411319648,0.464420241,0.1049776,0.328206966,0.500699825,0.880080057,
 01/04  10:00:00,31.55522597,2.326534911,13.47022823,0,13.44083001,0,0.400163315,0.400163315,0.400163315,0.23737031,0.05365521,0.399981311,0.42613604,0.786458726,
 01/04  11:00:00,30.05360668,2.173015177,12.83673005,0,12.80664043,0,0.381289954,0.381289954,0.381289954,0.19608855,0.044323876,0.416780676,0.436158054,0.675604066,
 01/04  12:00:00,23.95482294,2.008377352,9.987374053,0,9.957275219,0,0.296452356,0.296452356,0.296452356,0.19608855,0.044323876,0.435735142,0.436291681,0.576715746,
 01/04  13:00:00,19.49288322,1.852699093,7.934387026,0,7.904795217,0,0.235336744,0.235336744,0.235336744,0.19608855,0.044323876,0.425637022,0.428942204,0.499600698,
 01/04  14:00:00,20.20233151,1.793300579,8.314788974,0,8.284173897,0,0.246638217,0.246638217,0.246638217,0.19608855,0.044323876,0.385966199,0.443774785,0.453738951,
 01/04  15:00:00,17.1070693,1.7127441,6.868923459,0,6.836584497,0,0.203544301,0.203544301,0.203544301,0.206409052,0.046656695,0.356355589,0.468763007,0.408245456,
 01/04  16:00:00,18.90982126,1.842417351,7.622074865,0,7.587938271,0,0.225915843,0.225915843,0.225915843,0.25801119,0.058320876,0.368490937,0.494820243,0.414088261,
 01/04  17:00:00,20.71852197,2.277399759,8.107715064,0,8.067337456,0,0.240225086,0.240225086,0.240225086,0.43345886,0.097979086,0.428670867,0.585285624,0.469010237,
 01/04  18:00:00,23.98555155,3.109112444,8.947781137,0,8.898728796,0,0.265040823,0.265040823,0.265040823,0.804995078,0.181961143,0.536821988,0.711028494,0.586494918,
 01/04  19:00:00,23.30278749,3.710023448,8.102129365,0,8.048873327,0,0.239761748,0.239761748,0.239761748,1.197172179,0.270608895,0.482732692,0.77196234,0.695015594,
 01/04  20:00:00,25.02930001,3.737688103,8.908350553,0,8.85337985,0,0.263762092,0.263762092,0.263762092,1.269415322,0.286938743,0.385424228,0.796816935,0.712560782,
 01/04  21:00:00,25.14657623,3.448072903,9.21618783,0,9.159327307,0,0.272894562,0.272894562,0.272894562,1.093967652,0.247280533,0.338845877,0.82421044,0.648103839,
 01/04  22:00:00,25.89794839,3.133343293,9.847830366,0,9.792297326,0,0.2917645,0.2917645,0.2917645,0.918519984,0.207622353,0.318073398,0.804968173,0.569624885,
 01/04  23:00:00,28.37804504,2.608878656,11.4966584,0,11.44860168,0,0.341131162,0.341131162,0.341131162,0.691470175,0.156299962,0.256145886,0.696596794,0.444464676,
 01/04  24:00:00,29.5690914,2.06508636,12.53408185,0,12.49232145,0,0.372242196,0.372242196,0.372242196,0.474740745,0.107310419,0.173494336,0.605329652,0.309199012,
 01/05  01:00:00,27.28076437,1.462887531,11.93454078,0,11.89999856,0,0.354596983,0.354596983,0.354596983,0.247690814,0.055988057,0.115167851,0.500699825,0.165974,
 01/05  02:00:00,26.78529773,1.213682352,11.90289134,0,11.87108706,0,0.353702506,0.353702506,0.353702506,0.144486287,0.032659695,0.098370824,0.461012649,0.100680391,
 01/05  03:00:00,26.60910424,1.124809582,11.89485726,0,11.86342173,0,0.353455032,0.353455032,0.353455032,0.103204501,0.023328353,0.083450145,0.455667575,0.082933976,
 01/05  04:00:00,26.55000468,1.114366918,11.87862644,0,11.8476334,0,0.352946316,0.352946316,0.352946316,0.103204501,0.023328353,0.074752636,0.449253486,0.088111626,
 01/05  05:00:00,25.88662328,1.151789514,11.5449752,0,11.51515293,0,0.343014716,0.343014716,0.343014716,0.103204501,0.023328353,0.086845757,0.432282875,0.140343311,
 01/05  06:00:00,26.03247483,1.442305127,11.44640615,0,11.41312689,0,0.33996498,0.33996498,0.33996498,0.103204501,0.023328353,0.101815918,0.482392946,0.368828428,
